X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,mar,fri,4.468204331,26.2,94.3,1.808288771,8.2,51,6.7,False,0.0
7,4,oct,tue,4.517431272,35.4,669.1,2.041220329,18.0,33,0.9,False,0.0
7,4,oct,sat,4.517431272,43.7,686.9,2.041220329,14.6,33,1.3,False,0.0
8,6,mar,fri,4.529368473,33.3,77.5,2.302585093,8.3,97,4.0,True,0.0
8,6,mar,sun,4.50313746,51.3,102.2,2.360854001,11.4,99,1.8,False,0.0
8,6,aug,sun,4.535820108,85.3,488.0,2.753660712,22.2,29,5.4,False,0.0
8,6,aug,mon,4.535820108,88.9,495.6,2.251291799,24.1,27,3.1,False,0.0
8,6,aug,mon,4.527208645,145.4,608.2,2.459588842,8.0,86,2.2,False,0.0
8,6,sep,tue,4.521788577,129.5,692.6,2.079441542,13.1,63,5.4,False,0.0
7,5,sep,sat,4.537961436,88.0,698.6,2.091864062,22.8,40,4.0,False,0.0
7,5,sep,sat,4.537961436,88.0,698.6,2.091864062,17.8,51,7.2,False,0.0
7,5,sep,sat,4.541164856,73.2,713.0,3.161246712,19.3,38,4.0,False,0.0
6,5,sep,mon,4.520701029,126.5,686.5,2.079441542,21.3,42,2.2,False,0.0
6,5,sep,wed,4.542230386,133.3,699.6,2.32238772,26.4,21,4.5,False,0.0
6,5,sep,fri,4.54648119,141.2,713.9,2.701361213,22.9,44,5.4,False,0.0
5,5,mar,sat,4.529368473,35.8,80.8,2.174751721,15.1,27,5.4,False,0.0
8,5,oct,mon,4.453183829,32.8,664.2,1.386294361,16.7,47,4.9,False,0.0
6,4,mar,wed,4.502029427,27.9,70.8,1.987874348,15.9,35,4.0,False,0.0
6,4,apr,sat,4.469350463,27.4,97.1,1.808288771,9.3,44,4.5,False,0.0
6,4,sep,tue,4.521788577,129.5,692.6,2.079441542,18.3,40,2.7,False,0.0
5,4,sep,mon,4.53044664,78.5,724.3,2.32238772,19.1,38,2.7,False,0.0
7,4,jun,sun,4.557029811,96.3,200.0,4.044804117,21.0,44,4.5,False,0.0
7,4,aug,sat,4.513054897,110.9,537.4,1.974081026,19.5,43,5.8,False,0.0
7,4,aug,sat,4.548599834,139.4,594.2,3.058707073,23.7,32,5.8,False,0.0
7,4,aug,sun,4.526126979,142.4,601.4,2.451005098,16.3,60,5.4,False,0.0
7,4,sep,fri,4.536891345,117.9,668.0,2.58021683,19.0,34,5.8,False,0.0
7,4,sep,mon,4.520701029,126.5,686.5,2.079441542,19.4,48,1.3,False,0.0
6,3,sep,sat,4.547541073,145.4,721.4,2.208274414,30.2,24,2.7,False,0.0
6,3,sep,sun,4.548599834,149.3,728.6,2.208274414,22.8,39,3.6,False,0.0
6,3,sep,fri,4.557029811,85.1,692.3,2.827313622,25.4,24,3.6,False,0.0
6,3,sep,mon,4.49535532,91.8,709.9,2.091864062,11.2,78,7.6,False,0.0
6,3,sep,fri,4.49535532,69.7,706.8,1.916922612,20.6,37,1.8,False,0.0
6,3,sep,sun,4.529368473,75.6,718.3,2.174751721,17.7,39,3.6,False,0.0
6,3,sep,mon,4.53044664,78.5,724.3,2.32238772,21.2,32,2.7,False,0.0
6,3,sep,tue,4.514150788,80.7,730.2,1.987874348,18.2,62,4.5,False,0.0
6,3,oct,tue,4.517431272,35.4,669.1,2.041220329,21.7,24,4.5,False,0.0
7,4,oct,fri,4.510859507,41.5,682.6,2.272125886,11.3,60,5.4,False,0.0
7,3,oct,sat,4.517431272,43.7,686.9,2.041220329,17.8,27,4.0,False,0.0
4,4,mar,tue,4.489759334,25.7,67.6,1.568615918,14.1,43,2.7,False,0.0
4,4,jul,tue,4.388257184,60.6,366.7,0.9162907319,23.3,37,3.1,False,0.0
4,4,aug,sat,4.513054897,96.9,624.2,2.292534757,18.4,42,6.7,False,0.0
4,4,aug,tue,4.562262685,108.3,647.1,2.890371758,16.6,54,5.4,False,0.0
4,4,sep,sat,4.537961436,88.0,698.6,2.091864062,19.6,48,2.7,False,0.0
